speed_mps,cp_used,rpm_used,power_kw,optimal_power_kw
0.2,0.2476,3.1034,0.15851216719944083,0.15851216719944083
0.331,0.4508,3.1034,1.3082473542322335,1.3082473542322335
0.4621,0.442,3.1034,3.490214764077579,3.490214764077579
0.5931,0.4467,6.2069,7.4579883560956075,7.4579883560956075
0.7241,0.4609,6.2069,14.003104408672574,14.003104408672574
0.8552,0.4543,6.2069,22.73881298422379,22.73881298422379
0.9862,0.4601,9.3103,35.31581265235882,35.31581265235882
1.1172,0.4629,9.3103,51.65375975501796,51.65375975501796
1.2483,0.4581,9.3103,71.30815169892728,71.30815169892728
1.3793,0.4636,12.4138,97.35126794249913,97.35126794249913
1.5103,0.4635,12.4138,110.0,127.77955815646514
1.6414,0.4625,15.5172,110.0,163.67298416030866
1.7724,0.4646,15.5172,110.0,207.0076551353862
1.9034,0.4638,15.5172,110.0,255.9427993146127
2.0345,0.4645,18.6207,110.0,313.02626356669913
2.1655,0.4652,18.6207,110.0,378.0386874781449
2.2966,0.464,18.6207,110.0,449.775752082662
2.4276,0.4653,21.7241,110.0,532.7045612166033
2.5586,0.4654,21.7241,110.0,623.8146101552878
2.6897,0.465,24.8276,110.0,724.079843821157
2.8207,0.4658,24.8276,110.0,836.5504866916357
2.9517,0.4655,24.8276,110.0,957.9841145425435
3.0828,0.4658,27.931,110.0,1092.0876894351552
3.2138,0.4661,27.931,110.0,1238.1054023059287
3.3448,0.4655,31.0345,110.0,1393.9658211049675
3.4759,0.4662,31.0345,110.0,1566.7368783856787
3.6069,0.4661,31.0345,110.0,1750.2632933181444
3.7379,0.4662,34.1379,110.0,1948.3962326164694
3.869,0.4665,34.1379,110.0,2162.070313252069
4.0,0.4663,34.1379,110.0,2388.181698387698
